"CUT","SEQ","BUNDLE","BUNDLEX","BUNCUT","STYLE","COLOR","ROOMNUMBER","WEIGHT","WIDTH","SIZE","QUANTITY","FIRSTTK","LASTTK","SHADE","STATUS","BUNDPRINTE","BOXDATE","BOX","FWIDTH","FLENGTH","ADFABRIC","FORMULA1","XTRA1","XTRA2","RS","FULLN","PNL","RTN","RPT","OC","cut.dbc","","","","","","",""
"2972","","1578","4","8","MCMS0017","S.GREEN","","NaN","","MR","9","1004","1042","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1579","5","9","MCMS0017","S.GREEN","","NaN","","MR","10","1043","1081","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1580","6","10","MCMS0017","S.GREEN","","NaN","","MR","9","1082","1120","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1581","7","11","MCMS0017","S.GREEN","","NaN","","MR","10","1121","1159","7","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1582","8","12","MCMS0017","S.GREEN","","NaN","","MR","9","1160","1198","8","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1583","1","13","MCMS0017","S.GREEN","","NaN","","MRA","10","1199","1237","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1584","2","14","MCMS0017","S.GREEN","","NaN","","MRA","9","1238","1276","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1585","3","15","MCMS0017","S.GREEN","","NaN","","MRA","10","1277","1315","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1586","4","16","MCMS0017","S.GREEN","","NaN","","MRA","9","1316","1354","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1587","5","17","MCMS0017","S.GREEN","","NaN","","MRA","10","1355","1393","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1588","6","18","MCMS0017","S.GREEN","","NaN","","MRA","9","1394","1432","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1589","7","19","MCMS0017","S.GREEN","","NaN","","MRA","10","1433","1471","7","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1590","8","20","MCMS0017","S.GREEN","","NaN","","MRA","9","1472","1510","8","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1591","1","21","MCMS0017","S.GREEN","","NaN","","MRB","10","1511","1549","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1592","2","22","MCMS0017","S.GREEN","","NaN","","MRB","9","1550","1588","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1593","3","23","MCMS0017","S.GREEN","","NaN","","MRB","10","1589","1627","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1594","4","24","MCMS0017","S.GREEN","","NaN","","MRB","9","1628","1666","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1595","5","25","MCMS0017","S.GREEN","","NaN","","MRB","10","1667","1705","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1596","6","26","MCMS0017","S.GREEN","","NaN","","MRB","9","1706","1744","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1597","7","27","MCMS0017","S.GREEN","","NaN","","MRB","10","1745","1783","7","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1598","8","28","MCMS0017","S.GREEN","","NaN","","MRB","9","1784","1822","8","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1599","1","29","MCMS0017","S.GREEN","","NaN","","MRC","10","1823","1861","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1600","2","30","MCMS0017","S.GREEN","","NaN","","MRC","9","1862","1900","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1601","3","31","MCMS0017","S.GREEN","","NaN","","MRC","10","1901","1939","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1602","4","32","MCMS0017","S.GREEN","","NaN","","MRC","9","1940","1978","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1603","5","33","MCMS0017","S.GREEN","","NaN","","MRC","10","1979","2017","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1604","6","34","MCMS0017","S.GREEN","","NaN","","MRC","9","2018","2056","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1605","7","35","MCMS0017","S.GREEN","","NaN","","MRC","10","2057","2095","7","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1606","8","36","MCMS0017","S.GREEN","","NaN","","MRC","9","2096","2134","8","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1607","1","37","MCMS0017","S.GREEN","","NaN","","LR","10","2135","2173","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1608","2","38","MCMS0017","S.GREEN","","NaN","","LR","9","2174","2212","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1609","3","39","MCMS0017","S.GREEN","","NaN","","LR","10","2213","2251","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1610","4","40","MCMS0017","S.GREEN","","NaN","","LR","9","2252","2290","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1611","5","41","MCMS0017","S.GREEN","","NaN","","LR","10","2291","2329","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1612","6","42","MCMS0017","S.GREEN","","NaN","","LR","9","2330","2368","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1613","7","43","MCMS0017","S.GREEN","","NaN","","LR","10","2369","2407","7","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1614","8","44","MCMS0017","S.GREEN","","NaN","","LR","9","2408","2446","8","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1615","1","45","MCMS0017","S.GREEN","","NaN","","LRA","10","2447","2485","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1616","2","46","MCMS0017","S.GREEN","","NaN","","LRA","9","2486","2524","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1617","3","47","MCMS0017","S.GREEN","","NaN","","LRA","10","2525","2563","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1618","4","48","MCMS0017","S.GREEN","","NaN","","LRA","9","2564","2602","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1619","5","49","MCMS0017","S.GREEN","","NaN","","LRA","10","2603","2641","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1620","6","50","MCMS0017","S.GREEN","","NaN","","LRA","9","2642","2680","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1621","7","51","MCMS0017","S.GREEN","","NaN","","LRA","10","2681","2719","7","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1622","8","52","MCMS0017","S.GREEN","","NaN","","LRA","9","2720","2758","8","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1623","1","53","MCMS0017","S.GREEN","","NaN","","XLR","10","2759","2797","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1624","2","54","MCMS0017","S.GREEN","","NaN","","XLR","10","2798","2836","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1625","1","1","CSK06","BLACK","","NaN","","S","9","2837","2851","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1626","1","2","CSK06","","","NaN","","S","9","2852","2866","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1627","2","3","CSK06","","","NaN","","S","9","2867","2881","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1628","3","4","CSK06","","","NaN","","S","9","2882","2896","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1629","4","5","CSK06","","","NaN","","S","9","2897","2911","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1630","5","6","CSK06","","","NaN","","S","9","2912","2926","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1631","6","7","CSK06","","","NaN","","S","9","2927","2941","7","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1632","1","8","CSK06","BLACK","","NaN","","SA","9","2942","2956","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1633","1","9","CSK06","","","NaN","","SA","9","2957","2971","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1634","2","10","CSK06","","","NaN","","SA","9","2972","2986","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1635","3","11","CSK06","","","NaN","","SA","9","2987","3001","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1636","4","12","CSK06","","","NaN","","SA","9","3002","3016","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1637","5","13","CSK06","","","NaN","","SA","9","3017","3031","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1638","6","14","CSK06","","","NaN","","SA","9","3032","3046","7","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1639","1","15","CSK06","BLACK","","NaN","","SB","9","3047","3061","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1640","1","16","CSK06","","","NaN","","SB","9","3062","3076","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1641","2","17","CSK06","","","NaN","","SB","9","3077","3091","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1642","3","18","CSK06","","","NaN","","SB","9","3092","3106","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1643","4","19","CSK06","","","NaN","","SB","9","3107","3121","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1644","5","20","CSK06","","","NaN","","SB","9","3122","3136","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1645","6","21","CSK06","","","NaN","","SB","9","3137","3151","7","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1646","1","22","CSK06","BLACK","","NaN","","SC","9","3152","3166","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1647","1","23","CSK06","","","NaN","","SC","9","3167","3181","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1648","2","24","CSK06","","","NaN","","SC","9","3182","3196","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1649","3","25","CSK06","","","NaN","","SC","9","3197","3211","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1650","4","26","CSK06","","","NaN","","SC","9","3212","3226","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1651","5","27","CSK06","","","NaN","","SC","9","3227","3241","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1652","6","28","CSK06","","","NaN","","SC","9","3242","3256","7","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1653","1","29","CSK06","BLACK","","NaN","","M","11","3257","3271","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1654","1","30","CSK06","","","NaN","","M","11","3272","3286","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1655","2","31","CSK06","","","NaN","","M","11","3287","3301","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1656","3","32","CSK06","","","NaN","","M","11","3302","3316","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1657","4","33","CSK06","","","NaN","","M","11","3317","3331","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1658","1","34","CSK06","BLACK","","NaN","","MA","11","3332","3346","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1659","1","35","CSK06","","","NaN","","MA","11","3347","3361","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1660","2","36","CSK06","","","NaN","","MA","11","3362","3376","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1661","3","37","CSK06","","","NaN","","MA","11","3377","3391","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1662","4","38","CSK06","","","NaN","","MA","11","3392","3406","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1663","1","39","CSK06","BLACK","","NaN","","MB","11","3407","3421","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1664","1","40","CSK06","","","NaN","","MB","11","3422","3436","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1665","2","41","CSK06","","","NaN","","MB","11","3437","3451","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1666","3","42","CSK06","","","NaN","","MB","11","3452","3466","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1667","4","43","CSK06","","","NaN","","MB","11","3467","3481","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1668","1","44","CSK06","BLACK","","NaN","","MC","11","3482","3496","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1669","1","45","CSK06","","","NaN","","MC","11","3497","3511","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1670","2","46","CSK06","","","NaN","","MC","11","3512","3526","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1671","3","47","CSK06","","","NaN","","MC","11","3527","3541","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1672","4","48","CSK06","","","NaN","","MC","11","3542","3556","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1673","1","49","CSK06","BLACK","","NaN","","MD","11","3557","3571","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1674","1","50","CSK06","","","NaN","","MD","11","3572","3586","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1675","2","51","CSK06","","","NaN","","MD","11","3587","3601","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1676","3","52","CSK06","","","NaN","","MD","11","3602","3616","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1677","4","53","CSK06","","","NaN","","MD","11","3617","3631","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1678","1","54","CSK06","BLACK","","NaN","","ME","11","3632","3646","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1679","1","55","CSK06","","","NaN","","ME","11","3647","3661","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1680","2","56","CSK06","","","NaN","","ME","11","3662","3676","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1681","3","57","CSK06","","","NaN","","ME","11","3677","3691","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1682","4","58","CSK06","","","NaN","","ME","11","3692","3706","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1683","1","59","CSK06","BLACK","","NaN","","L","10","3707","3721","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1684","1","60","CSK06","","","NaN","","L","10","3722","3736","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1685","2","61","CSK06","","","NaN","","L","10","3737","3751","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1686","3","62","CSK06","","","NaN","","L","10","3752","3766","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1687","4","63","CSK06","","","NaN","","L","10","3767","3781","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1688","1","64","CSK06","BLACK","","NaN","","LA","10","3782","3796","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1689","1","65","CSK06","","","NaN","","LA","10","3797","3811","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1690","2","66","CSK06","","","NaN","","LA","10","3812","3826","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1691","3","67","CSK06","","","NaN","","LA","10","3827","3841","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108545","","1692","4","68","CSK06","","","NaN","","LA","10","3842","3856","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"M101","","1693","1","1","CSK06BLK","BLACK","","NaN","","P","30","3857","3871","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"M101","","1694","2","2","CSK06BLK","BLACK","","NaN","","P","50","3872","3886","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"M101","","1695","1","3","CSK06BLK","BLACK","","NaN","","S","30","3887","3901","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"M101","","1696","2","4","CSK06BLK","BLACK","","NaN","","S","50","3902","3916","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"M101","","1697","1","5","CSK06BLK","BLACK","","NaN","","M","30","3917","3931","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"M101","","1698","2","6","CSK06BLK","BLACK","","NaN","","M","50","3932","3946","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"M101","","1699","1","7","CSK06BLK","BLACK","","NaN","","L","30","3947","3961","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"M101","","1700","2","8","CSK06BLK","BLACK","","NaN","","L","50","3962","3976","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"M101","","1701","1","9","CSK06BLK","BLACK","","NaN","","XL","30","3977","3991","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"M101","","1702","2","10","CSK06BLK","BLACK","","NaN","","XL","50","3992","4006","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"M101","","1703","1","11","CSK06BLK","BLACK","","NaN","","XXL","30","4007","4021","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"M101","","1704","2","12","CSK06BLK","BLACK","","NaN","","XXL","50","4022","4036","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1705","1","1","STYLE1","BLACK","","NaN","","M","11","1","16","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1706","2","2","STYLE1","BLACK","","NaN","","M","11","17","32","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1707","3","3","STYLE1","BLACK","","NaN","","M","11","33","48","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1708","1","4","STYLE1","BLACK","","NaN","","MA","11","49","64","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1709","2","5","STYLE1","BLACK","","NaN","","MA","11","65","80","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1710","3","6","STYLE1","BLACK","","NaN","","MA","11","81","96","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1711","1","7","STYLE1","BLACK","","NaN","","MB","12","97","112","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1712","2","8","STYLE1","BLACK","","NaN","","MB","12","113","128","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1713","3","9","STYLE1","BLACK","","NaN","","MB","12","129","144","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1714","1","10","STYLE1","BLACK","","NaN","","MC","12","145","160","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1715","2","11","STYLE1","BLACK","","NaN","","MC","12","161","176","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1716","3","12","STYLE1","BLACK","","NaN","","MC","12","177","192","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1717","1","13","STYLE1","BLACK","","NaN","","MD","11","193","208","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1718","2","14","STYLE1","BLACK","","NaN","","MD","11","209","224","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1719","3","15","STYLE1","BLACK","","NaN","","MD","11","225","240","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1720","1","16","STYLE1","BLACK","","NaN","","ME","11","241","256","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1721","2","17","STYLE1","BLACK","","NaN","","ME","11","257","272","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1722","3","18","STYLE1","BLACK","","NaN","","ME","11","273","288","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1723","1","19","STYLE1","BLACK","","NaN","","MF","10","289","304","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1724","2","20","STYLE1","BLACK","","NaN","","MF","10","305","320","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1725","3","21","STYLE1","BLACK","","NaN","","MF","10","321","336","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1726","1","22","STYLE1","BLACK","","NaN","","MG","10","337","352","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1727","2","23","STYLE1","BLACK","","NaN","","MG","10","353","368","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1728","3","24","STYLE1","BLACK","","NaN","","MG","10","369","384","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1729","1","25","STYLE1","BLACK","","NaN","","L","10","385","400","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1730","2","26","STYLE1","BLACK","","NaN","","L","10","401","416","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1731","3","27","STYLE1","BLACK","","NaN","","L","10","417","432","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1732","1","28","STYLE1","BLACK","","NaN","","LA","10","433","448","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1733","2","29","STYLE1","BLACK","","NaN","","LA","10","449","464","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1734","3","30","STYLE1","BLACK","","NaN","","LA","10","465","480","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST11","","1735","1","31","STYLE1","BLACK","","NaN","","LB","10","481","496","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
